data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2021,45936499,150166158,1,2021-06-30,1,M,26B,24,21,M,10,10,U,,,21,
2021,45936500,150166167,1,2021-06-30,1,N,270,22,19,F,20,20,N,,,19,
2021,45936501,150166169,1,2021-06-30,1,N,220,30,27,M,20,20,N,,,27,
2021,45936502,150166177,1,2021-06-30,1,N,13B,39,36,M,20,20,R,,,36,
2021,45936503,150166181,1,2021-06-30,3,M,13B,20,17,F,20,20,R,H,,17,
2021,45936504,150166181,2,2021-06-30,3,N,13B,16,13,F,20,20,R,H,,13,
2021,45936505,150166188,1,2021-06-30,3,M,13B,20,17,F,20,20,R,H,,17,
2021,45936506,150166189,1,2021-06-30,3,M,23F,24,21,M,10,10,U,,,21,
2021,45936507,150166197,1,2021-06-30,3,N,23C,43,40,F,10,20,N,,,40,
2021,45936508,150166203,1,2021-06-30,2,N,120,26,23,M,20,20,U,,,23,
2021,45936509,150166206,1,2021-06-30,1,N,120,39,36,M,20,20,R,,,36,
2021,45936510,150166211,1,2021-06-30,1,N,35A,28,25,M,20,20,R,,,25,
2021,45936511,150166214,1,2021-06-30,1,N,23C,51,48,M,20,20,N,,,48,
2021,45936512,150166217,1,2021-06-30,1,N,250,28,25,F,20,20,N,,,25,
2021,45936513,150166220,1,2021-06-30,1,N,23C,55,52,M,20,20,N,,,52,
2021,45936514,150166221,1,2021-06-30,1,N,35A,33,30,M,20,20,N,,,30,
2021,45936515,150166222,1,2021-07-01,1,N,13A,31,28,M,10,20,R,,,28,
2021,45936516,150166229,1,2021-07-01,2,N,280,22,19,M,20,20,N,,,19,
2021,45936517,150166234,1,2021-07-02,2,N,220,48,45,M,10,20,R,,,45,
2021,45936520,150166263,1,2021-07-01,1,N,220,39,36,M,20,20,R,,,36,
2021,45936522,150166285,1,2021-07-01,1,N,90Z,28,25,M,20,20,R,,,25,
2021,45936525,150166293,1,2021-07-01,1,N,26A,25,22,M,40,10,R,,,22,
2021,45936532,150166322,1,2021-07-20,1,N,13A,43,40,M,20,20,R,,,40,
2021,45936537,150166336,1,2021-07-02,3,N,13A,24,21,M,20,20,R,,,21,
2021,45936540,150166357,1,2021-07-01,2,N,13A,46,43,M,10,20,R,,,43,
2021,45936548,150166405,1,2021-07-02,3,N,13B,42,39,F,20,20,R,,,39,
2021,45936563,150166444,1,2021-07-01,1,N,35A,34,31,M,20,20,R,,,31,
2021,45936568,150166475,1,2021-07-02,1,N,13B,29,26,M,10,20,R,,,26,
2021,45936571,150166479,1,2021-07-02,2,N,240,35,32,F,20,20,R,,,32,
2021,45936574,150166484,1,2021-07-02,3,N,11D,64,61,M,10,10,N,,,61,
2021,45936576,150166489,1,2021-07-02,2,N,520,20,17,M,20,20,R,R,,17,
2021,45936577,150166491,1,2021-07-07,3,N,13A,35,32,M,20,20,R,,,32,
2021,45936578,150166496,1,2021-07-02,1,N,90D,44,41,M,10,20,N,,,41,
2021,45936580,150166504,1,2021-07-16,3,N,13A,52,49,M,10,10,R,,,49,
2021,45936584,150166514,1,2021-10-08,2,N,13A,44,41,M,20,20,R,,,41,
2021,45936586,150166528,1,2021-07-02,1,N,35A,45,42,M,20,20,R,,,42,
2021,45936592,150166538,1,2021-07-02,1,C,120,37,34,F,20,10,R,,,34,
2021,45936595,150166543,1,2021-07-02,1,N,13A,35,32,M,10,20,R,,,32,
2021,45936599,150166559,1,2021-07-02,3,N,290,45,42,M,10,20,R,,,42,
2021,45936600,150166570,1,2021-07-02,1,N,13B,25,22,M,20,20,R,,,22,
2021,45936601,150166570,2,2021-07-02,1,N,13B,30,27,M,20,20,R,,,27,
2021,45936602,150166572,1,2021-08-01,2,N,26B,44,41,M,10,20,R,,,41,
2021,45936603,150166575,1,2021-07-02,1,N,290,66,63,M,10,20,R,,,63,
2021,45936604,150166581,1,2021-07-02,1,N,13B,57,54,M,10,20,R,,,54,
2021,45936605,150166585,1,2021-07-31,2,N,23C,51,48,F,10,20,R,,,48,
2021,45936606,150166593,1,2021-07-02,2,N,13B,29,26,M,20,20,N,,,26,
2021,45627435,149127822,1,2021-07-03,2,N,13B,19,16,F,20,20,R,H,,16,
2021,45936607,150166632,1,2021-07-02,1,N,35A,27,24,M,20,20,R,,,24,
2021,45936608,150166641,1,2021-07-02,3,N,520,24,21,M,20,20,R,,,21,
2021,45936609,150166654,1,2021-07-02,1,N,23G,39,36,M,10,20,R,,,36,
2021,45936610,150166659,1,2021-07-02,1,N,35A,33,30,M,20,20,R,,,30,
2021,45936611,150166663,1,2021-07-03,1,N,13B,20,17,F,20,20,R,H,,17,
2021,45936612,150166665,1,2021-07-03,1,M,520,32,29,M,20,20,R,,,29,
2021,45936613,150166673,1,2021-07-03,1,N,23G,22,19,M,10,10,N,,,19,
2021,45936614,150166673,2,2021-07-03,1,N,23G,31,28,M,40,20,N,,,28,
2021,45936615,150166676,1,2021-07-29,1,N,120,48,45,F,20,20,R,,,45,
2021,45936616,150166676,2,2021-08-03,3,N,120,35,32,F,20,20,N,,,32,
2021,45936617,150166681,1,2021-07-03,1,N,35A,40,37,M,10,20,R,,,37,
2021,45936618,150166684,1,2021-07-03,1,N,13B,41,38,M,20,20,N,,,38,
2021,45936619,150166703,1,2021-07-03,3,N,120,25,22,M,20,20,N,,,22,
2021,45936620,150166707,1,2021-07-03,1,N,23C,38,35,M,10,20,R,,,35,
2021,45936621,150166708,1,2021-07-12,3,N,120,65,62,M,10,20,R,,,62,
2021,45936622,150166709,1,2021-07-03,1,N,13B,39,36,M,20,20,R,,,36,
2021,45936623,150166716,1,2021-07-06,2,N,23H,37,34,F,10,20,R,,,34,
2021,45627451,149127952,1,2021-07-03,2,N,120,33,30,M,20,20,N,,,30,
2021,45936624,150166733,1,2021-07-03,1,N,280,31,28,M,20,20,N,,,28,
2021,45936625,150166740,1,2021-07-03,1,N,520,31,28,M,20,20,N,,,28,
2021,45936626,150166741,1,2021-07-06,3,N,240,20,17,M,20,20,R,H,,17,
2021,45936627,150166747,1,2021-07-19,2,N,35A,31,28,M,20,20,N,,,28,
2021,45936628,150166750,1,2021-07-03,1,N,220,26,23,M,20,20,R,,,23,
2021,45936629,150166752,1,2021-07-03,1,N,35A,22,19,M,20,20,N,,,19,
2021,45936630,150166776,1,2021-07-04,1,N,13B,24,21,M,10,20,N,,,21,
2021,45936631,150166781,1,2021-07-04,1,N,13A,34,31,M,10,20,R,,,31,
2021,45936632,150166782,1,2021-07-04,1,N,90Z,39,36,F,10,20,R,,,36,
2021,45936633,150166795,1,2021-07-15,1,M,120,35,32,F,10,20,N,,,32,
2021,45936634,150166799,1,2021-07-14,2,N,23F,39,36,M,10,20,R,,,36,
2021,45936635,150166802,1,2021-06-26,2,M,23C,37,34,M,10,20,R,,,34,
2021,45936636,150166808,1,2021-07-04,1,N,13B,28,25,F,20,20,R,,,25,
2021,45936637,150166808,2,2021-07-04,1,N,13B,54,51,M,20,20,N,,,51,
2021,45936638,150166810,1,2021-07-08,2,N,290,55,52,M,10,20,R,,,52,
2021,45936639,150166811,1,2021-07-05,3,N,120,30,27,M,20,20,R,,,27,
2021,45936640,150166813,1,2021-07-11,2,N,23D,34,31,M,20,20,N,,,31,
2021,45936641,150166815,1,2021-07-04,1,N,13B,40,37,M,20,20,R,,,37,
2021,45936642,150166817,1,2021-07-13,2,N,240,31,28,M,20,20,N,,,28,
2021,45936643,150166819,1,2021-07-04,1,N,120,34,31,M,10,20,R,,,31,
2021,45936644,150166836,1,2021-07-04,1,N,13A,59,56,M,20,20,R,,,56,
2021,45936645,150166848,1,2021-07-04,1,N,220,35,32,M,10,20,R,,,32,
2021,45936646,150166854,1,2021-07-04,1,N,13B,24,21,M,20,20,R,,,21,
2021,45936647,150166855,1,2021-07-04,1,N,13A,41,38,M,20,20,R,,,38,
2021,45936648,150166856,1,2021-07-04,1,N,23C,60,57,M,20,20,R,,,57,
2021,45936649,150166862,1,2021-07-04,1,N,90Z,25,22,M,10,20,R,,,22,
2021,45936650,150166863,1,2021-07-04,2,C,520,44,41,M,10,20,R,,,41,
2021,45936651,150166868,1,2021-07-05,2,N,13A,43,40,M,20,20,R,,,40,
2021,45936652,150166869,1,2021-07-05,2,N,90Z,59,56,F,10,20,R,,,56,
2021,45936653,150166870,1,2021-07-04,1,N,13B,25,22,M,20,20,R,,,22,
2021,45936654,150166870,2,2021-07-04,1,N,90C,27,24,M,20,20,R,,,24,
2021,45936655,150166872,1,2021-07-16,3,N,13A,35,32,M,20,20,R,,,32,
2021,45936656,150166878,1,2021-07-05,1,N,520,26,23,M,20,20,U,,,23,
2021,45936657,150166878,2,2021-07-05,1,N,520,25,22,M,20,20,R,,,22,
2021,45936658,150166878,3,2021-07-05,1,N,520,22,19,M,20,20,N,,,19,
2021,45936659,150166878,4,2021-07-05,1,N,520,25,22,M,20,20,N,,,22,
2021,45936660,150166883,1,2021-07-05,1,N,13B,41,38,M,20,20,R,,,38,
2021,45936661,150166885,1,2021-07-05,1,N,13A,28,25,F,20,20,R,,,25,
2021,45936662,150166885,2,2021-07-05,1,N,13B,27,24,M,20,20,N,,,24,
2021,45936663,150166886,1,2021-08-20,1,M,23C,31,28,M,10,20,R,,,28,
2021,45936664,150166890,1,2021-07-20,3,N,13A,48,45,M,20,20,R,,,45,
2021,45936665,150166891,1,2021-07-12,3,N,520,34,31,M,10,20,R,,,31,
2021,45936666,150166892,1,2021-07-15,1,M,120,35,32,F,10,20,N,,,32,
2021,45936667,150166900,1,2021-07-08,2,N,290,55,52,M,10,20,R,,,52,
2021,45627483,149128117,1,2022-01-11,2,N,23D,55,52,M,20,20,N,,,52,
2021,45936668,150166915,1,2021-07-05,1,N,520,24,21,M,20,20,R,,,21,
2021,45936669,150166917,1,2021-07-05,1,N,290,22,19,M,20,20,R,,,19,
2021,45936670,150166917,2,2021-07-05,1,N,290,24,21,M,20,20,U,,,21,
2021,45936671,150166918,1,2021-07-05,1,N,13B,27,24,M,10,20,R,,,24,
2021,45936672,150166925,1,2021-07-05,1,C,13A,40,37,M,20,20,R,,,37,
2021,45627490,149128150,1,2022-01-13,3,C,290,36,33,F,20,20,N,,,33,
2021,45936673,150166939,1,2021-07-05,1,N,35A,46,43,F,10,20,N,,,43,
2021,45936674,150166948,1,2021-08-18,2,N,240,52,49,M,10,20,R,,,49,
2021,45936675,150166949,1,2021-07-06,1,N,35A,30,27,M,10,20,R,,,27,
